koi_score,koi_period,koi_ror,koi_srho,koi_prad,koi_sma,koi_teq,koi_insol,koi_dor,koi_count,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,O/P
1,4.580346161,0.015995,3.49602,1.38,0.0506,889,147.56,15.71,3,5103,4.558,0.04,0.789,0.82,N
1,2.248288213,0.014461,2.36193,1.25,0.0315,1127,380.75,8.578,3,5103,4.558,0.04,0.789,0.82,N
1,6.76690759,0.015191,5.49873,1.31,0.0656,781,87.79,23.7,3,5103,4.558,0.04,0.789,0.82,N
1,34.1732156,0.026045,0.64599,2.37,0.2027,465,11.09,34.2,2,5201,4.573,0.36,0.834,0.948,N
1,16.7364755,0.038278,1.97039,2.73,0.1107,464,10.99,30.8,1,4334,4.618,-0.06,0.653,0.646,N
0,137.8645881,0.324187,9.8537,15.9,0.4036,170,0.2,215,1,3645,4.797,-0.08,0.449,0.46,N
0.984,12.43929428,0.015366,1.49391,1.3,0.0951,627,36.57,23.03,1,4987,4.531,-0.08,0.773,0.742,N
1,7.62635494,0.0154,4.39175,1.21,0.0696,703,57.89,23.81,3,4955,4.61,-0.1,0.721,0.774,N
1,8.710442022,0.040896,8.43408,3.61,0.08,760,78.75,32.3,1,5416,4.575,-0.04,0.809,0.9,N
1,11.35010642,0.031169,8.85324,1.75,0.0796,403,6.25,39.21,1,3597,4.734,0.4,0.514,0.522,N
1,109.4450597,0.032089,18.03324,3.04,0.4276,340,3.14,225.2,1,5403,4.5,0,0.868,0.868,N
0.998,7.56052209,0.02342,1.19278,2.4,0.0761,914,164.9,15.332,1,5895,4.503,-0.02,0.94,1.026,N
1,12.12401737,0.024936,3.03686,2.37,0.0965,675,48.98,28.683,1,5094,4.469,0.16,0.87,0.813,N
1,9.38740646,0.024006,1.13914,1.69,0.077,575,25.83,17.44,2,4500,4.656,-0.02,0.646,0.71,N
1,7.41556471,0.011162,6.20646,0.79,0.0658,622,35.37,26.2,2,4500,4.656,-0.02,0.646,0.71,N
0.4,24.2101973,0.019502,2.36186,1.5,0.1459,451,9.8,41.8,3,4650,4.589,-0.04,0.706,0.704,N
1,23.8990075,0.015456,0.05041,3.26,0.1685,823,108.3,11.503,1,5511,3.914,0.1,1.93,1.115,N
1,6.22161107,0.013264,0.24814,1.59,0.0693,1101,348.15,7.98,1,6277,4.417,-0.02,1.097,1.148,N
1,6.17998508,0.024584,5.7186,2.12,0.0615,814,104.06,22.6,2,5149,4.551,-0.02,0.791,0.811,N
1,1.569066598,0.011031,0.64519,1.68,0.0269,1849,2763.39,4.379,1,5821,4.172,0.12,1.395,1.054,N
1,9.59068586,0.021503,1.72343,3.93,0.0827,1087,329.34,20.31,2,5476,3.904,-0.56,1.673,0.819,N
1,7.03932913,0.034474,0.08845,4.67,0.0734,1060,298.33,6.14,2,5846,4.278,0.14,1.24,1.064,N
0.978,49.6075771,0.025127,5.17681,2.12,0.2508,402,6.17,87.7,1,5187,4.592,0,0.774,0.858,N
1,16.84183355,0.027911,3.51751,3.08,0.1261,699,56.43,37.5,1,5602,4.404,0.1,1.009,0.941,N
0.998,7.340714946,0.087453,1.83834,14.31,0.0801,1155,421.03,17.37,1,6056,4.191,0.36,1.498,1.268,N
1,12.55111099,0.020536,2.34739,1.34,0.0896,480,12.56,26.94,2,4213,4.669,-0.2,0.598,0.609,N
1,3.003879547,0.085668,0.79594,10.96,0.0439,1438,1011.87,7.24,1,6311,4.398,0.21,1.172,1.253,N
1,24.0884178,0.017719,2.78337,1.16,0.1384,386,5.26,44,2,4213,4.669,-0.2,0.598,0.609,N
0.999,12.75800092,0.012453,1.5271,1.49,0.1054,822,107.96,23.597,3,5782,4.34,-0.02,1.095,0.957,N
1,5.47033376,0.00962,1.51962,1.15,0.0599,1090,334.27,13.396,3,5782,4.34,-0.02,1.095,0.957,N
1,6.51112385,0.028261,1.68446,3.09,0.0698,1008,243.67,15.57,2,6032,4.465,-0.02,1.001,1.065,N
1,23.85163321,0.030835,2.13521,3.37,0.1658,654,43.19,40,2,6032,4.465,-0.02,1.001,1.065,N
0.998,2.714078374,0.012781,1.47384,1.38,0.0386,1301,675.86,8.31,1,5815,4.461,0.12,0.992,1.038,N
1,122.8799543,0.028739,0.3502,2.7,0.4629,326,2.66,65.4,1,5413,4.51,0,0.861,0.875,N
1,4.88753111,0.023483,5.09659,2.45,0.0574,1003,239.11,18.6,1,5568,4.499,0.44,0.957,1.053,N
0.994,6.14728341,0.009757,2.40067,0.79,0.0611,770,83.18,16.86,2,4997,4.598,0,0.746,0.806,N
1,2.800111267,0.027766,5.75791,2.13,0.0343,956,197.81,13.36,1,4786,4.579,-0.2,0.704,0.686,N
1,34.3511339,0.026053,0.48802,2.75,0.2101,576,26.1,31.2,1,6091,4.487,-0.14,0.967,1.045,N
1,3.413036353,0.055812,1.90183,6.62,0.0427,1200,490.24,10.5406,2,5392,4.314,0.18,1.087,0.888,N
1,3.00725068,0.018345,0.03994,1.56,0.0388,1122,373.99,2.67,1,5667,4.587,-0.36,0.781,0.873,N
1,4.194496867,0.027522,1.09947,1.57,0.0419,577,26.2,10.07,2,3706,4.747,0.26,0.522,0.555,N
0.974,6.35585682,0.015018,1.28201,0.86,0.0552,503,15.1,13.99,2,3706,4.747,0.26,0.522,0.555,N
1,1.970340203,0.021783,0.51893,3.97,0.0303,1599,1540.07,4.74,2,4883,3.972,0.56,1.667,0.951,N
1,5.05821338,0.058714,1.13328,10.69,0.0567,1168,439.8,11.53,2,4883,3.972,0.56,1.667,0.951,N
1,26.85323647,0.027896,2.78077,2.65,0.162,544,20.77,47.326,1,5329,4.455,-0.14,0.869,0.786,N
0.987,25.0985083,0.013257,2.1809,1.59,0.1654,656,43.84,41.7,3,5782,4.34,-0.02,1.095,0.957,N
0.995,34.2685741,0.02559,1.17744,2.44,0.193,477,12.2,41.8,2,5083,4.468,0.18,0.872,0.815,N
1,5.75321539,0.03095,0.84337,3.14,0.0633,920,169.44,11.38,1,5445,4.51,0.48,0.929,1.017,N
1,5.50860699,0.015422,0.21388,1.49,0.0585,934,179.62,7,1,5448,4.489,0,0.883,0.877,N
1,18.93055119,0.024576,2.48982,4.41,0.137,766,81.42,36.1,1,5015,3.987,0.36,1.643,0.955,N
0,42.94386258,0.405464,1.25537,41.62,0.2238,520,17.26,49.6,1,5750,4.4,-0.42,0.94,0.808,N
0.991,22.06402,0.022444,0.17456,2.67,0.1624,712,60.81,16.5,1,6232,4.432,0.07,1.09,1.174,N
1,5.756245244,0.027905,5.4985,2.24,0.0582,773,84.16,21.3,1,4931,4.605,0,0.734,0.794,N
0.993,148.4601819,0.040286,2.11411,3.61,0.5238,285,1.56,135.1,2,5159,4.548,0.16,0.821,0.868,N
1,0.934885365,0.01638,1.07711,3.21,0.0184,2080,4435.29,3.68,1,4777,3.909,0.56,1.795,0.953,N
0.862,25.7626846,0.022795,0.60038,2.66,0.1709,633,37.99,27.62,2,5739,4.381,0.14,1.069,1.002,N
0.995,11.0317836,0.012457,0.69388,1.45,0.0971,840,117.67,16.47,2,5739,4.381,0.14,1.069,1.002,N
1,4.12511935,0.00976,1.37114,0.88,0.049,1016,252.18,10.72,2,5598,4.565,-0.1,0.83,0.928,N
1,4.22464216,0.03465,1.49538,4.31,0.0546,1279,631.55,11.22,1,6343,4.408,0.07,1.14,1.213,N
0.978,13.12162167,0.014262,0.54754,1.99,0.1123,913,164.48,17.08,2,6140,4.265,0,1.277,1.094,N
0.999,49.6220669,0.025794,0.07822,3.33,0.2726,546,20.99,21.7,1,5938,4.331,0.16,1.184,1.097,N
1,8.08801663,0.030765,4.02971,2.94,0.0753,792,92.93,24.1,1,5269,4.494,0.14,0.874,0.87,N
1,11.55103848,0.018791,1.82309,2.17,0.1005,845,120.76,23.43,1,5907,4.395,0,1.058,1.014,N
1,4.469754641,0.022136,4.5461,2.26,0.0535,1103,350.69,16.87,1,5988,4.507,-0.12,0.934,1.021,N
1,15.77382794,0.016277,1.14507,2.72,0.1291,955,196.14,24.7,1,6283,4.129,-0.06,1.531,1.15,N
1,6.56226483,0.01552,0.41998,3.07,0.0732,1290,654.67,9.85,2,5878,4.005,0.24,1.812,1.212,N
1,20.67876365,0.017394,0.79795,2.42,0.1518,749,74.36,26.2,3,5865,4.266,0.16,1.272,1.088,N
0.993,50.79034648,0.069067,0.40843,10.6,0.2776,612,33.12,38.189,2,6163,4.185,-0.06,1.406,1.102,N
1,9.59993246,0.014963,1.04528,2.08,0.091,967,206.91,17.2,3,5865,4.266,0.16,1.272,1.088,N
0.933,2.0248205,0.007277,0.97398,1.01,0.0322,1625,1652.5,5.954,3,5865,4.266,0.16,1.272,1.088,N
0.861,201.118319,0.021853,1.6429,2.28,0.6559,300,1.92,152.01,1,5646,4.447,0,0.954,0.929,N
1,24.7577652,0.023093,0.07423,2.44,0.1688,644,40.74,13.4,1,6106,4.487,-0.16,0.966,1.043,N
1,12.7983174,0.01815,0.14332,2.88,0.1072,908,160.33,10.75,3,5592,4.115,0.16,1.451,1,N
1,10.13200555,0.02728,2.91174,1.67,0.0756,574,25.66,25.09,2,4777,4.689,-1.08,0.561,0.561,N
1,38.505224,0.025468,0.76267,2.45,0.2159,532,18.98,39.1,1,5974,4.504,-0.42,0.881,0.904,N
0.983,4.6126736,0.011477,0.42038,1.6,0.0559,1294,663.8,7.79,2,6140,4.265,0,1.277,1.094,N
0.999,8.67890312,0.021018,1.66733,2.56,0.0805,905,158.43,18.79,4,5509,4.308,0.16,1.116,0.924,N
1,39.3135699,0.020516,2.79643,2.07,0.227,540,20.04,61.13,1,6060,4.509,-0.22,0.925,1.008,N
1,5.94565516,0.018129,4.86272,1.12,0.0536,568,24.71,20.87,1,3974,4.7,-0.06,0.564,0.581,N
1,1.52373073,0.022705,0.28756,1.26,0.0208,818,105.95,3.28,1,3746,4.736,0,0.51,0.516,N
0.998,4.225384543,0.078185,1.98451,9,0.0516,1111,360.46,12.3266,1,5574,4.403,0.42,1.054,1.025,N
0.997,60.0853848,0.020987,0.39852,2.4,0.3148,485,13.07,42.4,1,6028,4.459,0.21,1.047,1.149,N
0.99,43.0343364,0.025125,0.18252,2.5,0.2327,484,13.01,26.1,1,5550,4.476,0,0.911,0.906,N
0.999,46.2991052,0.026296,2.91812,4.33,0.2436,592,29.04,69.15,1,5396,4.035,-0.06,1.507,0.898,N
0.862,88.6440015,0.024607,0.59555,2.51,0.3815,391,5.51,62.8,1,5661,4.471,0,0.934,0.941,N
0.999,35.01190875,0.023595,1.02226,2.97,0.2124,603,31.35,40.5,1,5872,4.332,0.1,1.153,1.041,N
1,16.57099265,0.023913,3.6704,2.03,0.121,614,33.53,37.6,2,5483,4.589,-0.22,0.779,0.865,N
1,16.00496657,0.017862,0.51784,3.71,0.1396,1040,276.53,19.14032,1,6384,4.029,0.12,1.904,1.412,N
1,1.954525966,0.019224,0.8297,2.38,0.0307,1540,1331.18,5.51,3,5741,4.331,0.16,1.136,1.01,N
1,7.23400381,0.019155,6.3602,1.78,0.0702,831,112.48,26.01,1,5411,4.523,0,0.85,0.879,N
1,6.77408984,0.020933,3.37561,2.5,0.0741,1058,295.82,20.16,1,6246,4.433,0.07,1.092,1.18,N
1,20.17202467,0.066137,5.65507,6.24,0.1353,564,24,49.55,2,5064,4.474,0.18,0.864,0.811,N
1,26.41044199,0.03051,3.64318,2.45,0.1616,512,16.27,51.2,1,5448,4.613,-0.38,0.734,0.815,N
1,8.27745764,0.012663,3.27949,2.46,0.077,1088,331.35,22.82,1,5129,3.884,-0.16,1.781,0.887,N
1,14.37504582,0.017825,0.27281,2.05,0.1167,786,90.16,14.39,1,5931,4.403,0,1.053,1.023,N
1,6.31219171,0.018482,0.46944,2.17,0.0695,1096,342.04,9.962,1,6322,4.426,-0.12,1.075,1.124,N
0.997,147.97391,0.032114,4.25487,3.33,0.5302,329,2.78,170.1,1,5578,4.44,0,0.95,0.905,N
0.975,13.24503482,0.011651,0.8915,1.77,0.1092,887,146.31,20.22,1,5636,4.147,0.12,1.39,0.988,N
0.937,77.2550726,0.024976,0.12697,3.7,0.3781,548,21.37,34.2,1,6564,4.255,-0.16,1.356,1.212,N
0.9,3.85690686,0.010442,2.61216,0.93,0.0466,972,210.44,12.71,1,5272,4.574,0.12,0.813,0.902,N
1,116.3311739,0.035703,3.13923,3.26,0.4451,323,2.59,130.95,2,5354,4.533,0,0.835,0.868,N
1,6.31943553,0.024241,0.43273,2.71,0.0658,986,223.15,9.7,4,5670,4.397,0.06,1.022,0.949,N
1,12.20951755,0.023354,0.41454,2.61,0.1021,791,92.68,14.84,4,5670,4.397,0.06,1.022,0.949,N
1,3.07644709,0.01442,0.55826,1.61,0.0407,1253,583.25,6.54,4,5670,4.397,0.06,1.022,0.949,N
0.999,2.11913005,0.005188,0.11777,1.35,0.0356,2090,4512.1,3.04,1,5799,3.813,0.16,2.377,1.339,N
0.999,68.958447,0.011473,3.91,1.11,0.3183,402,6.17,99.4,1,5455,4.497,0.06,0.888,0.902,N
1,18.79591276,0.048106,0.18078,7.39,0.1431,852,124.64,15,2,6163,4.185,-0.06,1.406,1.102,N
0.986,63.0380366,0.023298,1.42231,2.59,0.3076,465,11.1,66.852,1,5798,4.411,0,1.019,0.976,N
1,9.69315023,0.01176,0.1532,1.89,0.0894,1017,253.08,9.13,2,5683,4.108,0.1,1.472,1.014,N
0,8.48031229,0.021887,0.01171,2.58,0.0809,952,193.86,3.54,1,5910,4.364,-0.08,1.078,0.982,N
0.999,56.1886436,0.019925,0.25001,2.56,0.2939,503,15.13,34.7,3,5700,4.327,0.34,1.176,1.071,N
1,6.92101452,0.023135,0.21781,1.48,0.059,619,34.85,8.2,1,4461,4.661,-0.6,0.585,0.571,N
1,3.27344784,0.014934,4.10022,0.81,0.0349,625,36.05,13.24,1,3758,4.769,0,0.496,0.528,N
0.999,15.3789014,0.01252,1.08766,2.94,0.1313,1039,275.53,23.87,2,5817,3.877,0.18,2.153,1.276,N
0.999,134.4785189,0.072121,0.87299,10.52,0.5135,412,6.81,94.15,2,5791,4.185,0.02,1.336,0.996,N
0.999,5.007414194,0.07733,2.82445,8.8,0.058,1114,363.75,15.527,1,5957,4.417,0,1.042,1.034,N
0,24.68662378,0.085729,0.04024,48.04,0.1633,1149,412.55,10.9,1,4648,2.996,0.14,5.132,0.95,N
1,98.7179332,0.081484,2.1732,6.99,0.3982,360,3.97,103.8,1,5808,4.583,-0.46,0.786,0.871,N
0.933,71.52543938,0.06781,3.52177,5.76,0.3091,340,3.15,98.388,2,4855,4.542,0.12,0.778,0.769,N
1,17.50441726,0.024535,2.05681,3.56,0.1289,824,108.78,32.18,1,5815,4.16,-0.18,1.329,0.933,N
1,1.72086129,0.099872,1.02994,13.25,0.0287,1647,1743.61,5.443,1,5742,4.297,0.26,1.215,1.068,N
0.359,56.4349933,0.021706,4.77055,2.37,0.276,465,11.04,92.954,1,5534,4.381,0,1.001,0.88,N
1,33.7888028,0.023375,1.82374,2.71,0.2127,611,33.01,47.92,1,6202,4.436,-0.02,1.062,1.122,N
1,3.215109385,0.015061,0.01886,1.54,0.0418,1155,421.21,2.18,1,5541,4.472,0.12,0.934,0.942,N
0.998,3.29276797,0.008673,0.11647,1.39,0.0435,1458,1068.95,4.06,2,5683,4.108,0.1,1.472,1.014,N
0.999,13.72710334,0.012888,0.30446,2.38,0.1154,1005,241.58,14.4747,4,5951,4.017,-0.08,1.693,1.086,N
0.998,24.3110031,0.012424,0.30621,2.3,0.169,831,112.64,21.23,4,5951,4.017,-0.08,1.693,1.086,N
0.996,9.34145925,0.008438,0.24477,1.56,0.0893,1143,403.44,10.41,4,5951,4.017,-0.08,1.693,1.086,N
1,4.97760447,0.015682,1.79524,1.75,0.0545,1023,258.91,13.3,3,5353,4.358,0.16,1.023,0.87,N
0.974,21.1285655,0.012237,2.64147,2.88,0.1622,935,180.55,39.6,2,5817,3.877,0.18,2.153,1.276,N
0,24.4851178,0.021816,0.03911,7.14,0.1857,1179,456.64,10.74,1,6655,3.638,-0.58,2.995,1.42,N
0.992,7.51854537,0.015061,2.8135,1.42,0.0701,784,89.41,20.33,2,5064,4.474,0.18,0.864,0.811,N
0.936,86.7490807,0.021098,1.00742,2.23,0.3706,398,5.94,73.73,1,5579,4.419,0,0.97,0.901,N
0.879,25.96190067,0.017211,0.93345,3.25,0.1891,850,123.11,32.16,1,6369,4.088,0.06,1.729,1.337,N
0.999,130.3543929,0.06946,2.31284,7.7,0.5183,369,4.36,127.6,1,5970,4.463,0.1,1.015,1.089,N
1,1.855557556,0.097147,1.04421,10.05,0.0286,1436,1004.89,5.749,1,5657,4.441,-0.08,0.947,0.903,N
1,3.261759866,0.077582,0.69262,8.01,0.0434,1262,599.54,7.303,1,6131,4.497,-0.24,0.945,1.023,N
0.003,3.364425589,0.671549,1.53737,56.83,0.0417,1106,352.97,9.73,1,5813,4.589,-0.52,0.775,0.855,N
1,16.78175788,0.027823,1.9562,2.25,0.118,545,20.82,30.8,1,4925,4.588,0,0.742,0.778,N
1,105.3035093,0.033268,4.07825,3.18,0.4238,351,3.58,133.71,1,5534,4.515,0,0.875,0.914,N
1,2.549562652,0.020119,4.6501,1.11,0.0293,682,50.9,11.691,3,3716,4.74,0.04,0.506,0.513,N
1,13.96950181,0.036995,3.98511,2.04,0.0909,387,5.29,34.5,3,3716,4.74,0.04,0.506,0.513,N
1,5.21230171,0.018794,4.78967,1.04,0.0471,537,19.7,19.02,3,3716,4.74,0.04,0.506,0.513,N
1,17.76076524,0.034334,17.97851,1.93,0.1085,368,4.34,66.9,1,3826,4.744,-0.06,0.516,0.54,N
0.982,10.55840479,0.012634,2.09395,1.41,0.09,796,94.94,23.11,3,5353,4.358,0.16,1.023,0.87,N
0,20.92735802,0.143383,0.81405,17.36,0.1498,735,69.08,26.612,1,6126,4.358,-0.12,1.109,1.021,N
0.967,6.98800953,0.012445,2.04813,1.39,0.0683,914,164.86,17.42,3,5353,4.358,0.16,1.023,0.87,N
0.738,105.3582299,0.034493,5.81276,1.87,0.351,204,0.41,150.5,2,3883,4.762,-0.28,0.496,0.518,Y
0.944,22.8245144,0.016692,0.62132,3.36,0.177,946,189.46,25.77,2,6642,4.057,-0.02,1.846,1.421,N
0.999,49.1011093,0.027082,1.12947,3.28,0.253,498,14.57,52.4,1,5393,4.299,0.2,1.11,0.895,N
0.989,7.05675145,0.010978,3.5363,1.68,0.0778,1196,483.95,21.04,2,6388,4.244,0.1,1.402,1.259,N
0.996,34.8536903,0.025958,1.41193,2.4,0.2046,522,17.62,44.9,2,5818,4.554,-0.22,0.848,0.937,N
1,2.41434868,0.012299,9.60814,0.97,0.0315,953,195.08,14.36,1,4507,4.573,0.18,0.724,0.715,N
0.998,2.466070972,0.251698,0.07227,24.3,0.0353,1260,595.8,2.85,1,5708,4.529,-0.04,0.884,0.963,N
1,4.30656389,0.017299,0.06502,1.95,0.054,1177,453.2,3.99,1,6108,4.466,0.07,1.03,1.132,N
0,12.96471775,0.353935,1.48087,39.93,0.1115,834,114.24,23.6,1,6210,4.45,-0.1,1.033,1.093,N
0.46,1.731079436,0.537502,0.66955,56.05,0.0286,1541,1332.5,4.73,1,6045,4.494,-0.12,0.955,1.038,N
1,7.794302043,0.153996,4.56215,16.51,0.0742,882,142.82,24.47,1,5494,4.405,0.07,0.982,0.893,N
1,14.5324483,0.033083,4.40903,3.11,0.1083,664,46.06,36.65,1,5345,4.473,-0.12,0.86,0.802,N
1,5.248667607,0.02569,1.22945,2.84,0.0596,1056,293.42,12.14,1,5807,4.437,0.1,1.012,1.021,N
1,7.96431492,0.024538,18.99927,2.44,0.0734,805,99.42,39.94,1,5185,4.44,0.16,0.91,0.831,N
0.998,92.7297248,0.038187,0.49438,2.81,0.3608,276,1.38,60.8,2,4580,4.641,0.08,0.675,0.748,Y
1,1.485710994,0.130256,1.52356,14.48,0.0257,1562,1404.81,5.6229,1,5624,4.432,0.3,1.018,1.021,N
1,30.5231459,0.130484,0.77375,11.26,0.183,506,15.46,33.7,1,5518,4.585,-0.2,0.79,0.885,N
0.989,71.3116598,0.042352,0.99346,4.94,0.354,475,12.01,64.4,2,6194,4.445,0.07,1.069,1.161,N
1,28.78270955,0.025875,6.37754,2.11,0.1685,443,9.09,65.37,1,4774,4.58,0.12,0.745,0.77,N
0,15.44428875,0.347304,1.19973,37.58,0.1255,731,67.39,24.7,1,5895,4.489,0.21,0.991,1.105,N
0.972,1.411230023,0.021233,0.78246,1.71,0.0221,1164,436.04,4.35,1,4575,4.564,0.18,0.737,0.726,N
1,96.9151707,0.027419,2.44078,2.37,0.3878,325,2.64,106.6,1,5162,4.559,0,0.791,0.826,N
1,13.47472742,0.02444,6.95203,1.96,0.1034,634,38.21,40.56,1,5395,4.615,-0.34,0.734,0.821,N
1,2.29503515,0.011933,4.28717,1.18,0.0331,1304,681.51,10.61,1,5637,4.482,-0.06,0.909,0.914,N
1,27.495634,0.021247,0.94603,2.11,0.1629,590,28.66,33.6,2,5657,4.401,-0.48,0.911,0.762,N
1,14.08826442,0.027205,1.71486,2.66,0.1138,724,64.97,26.2,1,5853,4.529,-0.1,0.895,0.99,N
0.999,3.905081685,0.13191,2.09428,12.78,0.0485,1046,282.59,11.907,1,5543,4.54,0.21,0.887,0.997,N
0.996,110.9643706,0.035366,0.17592,2.11,0.3679,239,0.77,48.6,1,4441,4.695,-0.86,0.546,0.538,Y
1,4.539297295,0.029574,1.18462,2.34,0.0494,830,112.09,10.886784,3,4914,4.61,-0.04,0.724,0.783,N
1,6.94135824,0.030784,1.46625,2.96,0.0682,876,139.05,15.51,3,5527,4.491,-0.08,0.88,0.875,N
0.99,17.27629668,0.090661,3.04681,7.31,0.1209,538,19.88,36.36,1,4941,4.599,0,0.738,0.79,N
1,31.7821117,0.021609,4.77947,2.08,0.1879,528,18.32,63.43,3,5527,4.491,-0.08,0.88,0.875,N
1,4.36273233,0.01828,1.17461,1.76,0.05,1023,258.7,10.57,3,5527,4.491,-0.08,0.88,0.875,N
1,18.6848377,0.032436,2.46841,1.93,0.1135,402,6.16,35.7,2,4156,4.712,-0.44,0.545,0.559,N
1,7.41634701,0.020845,4.72946,1.24,0.0613,547,21.1,23.96,2,4156,4.712,-0.44,0.545,0.559,N
1,9.91724268,0.021657,0.69602,2.85,0.0883,903,157.41,15.35,2,5539,4.244,0.14,1.207,0.932,N
0.854,82.5341188,0.038637,6.80263,2.45,0.3104,260,1.08,134.8,1,4316,4.678,-0.44,0.58,0.584,Y
1,20.16037858,0.022072,0.15473,1.75,0.1339,510,16.03,14.92,1,4975,4.614,0.02,0.724,0.818,N
1,10.99470891,0.026796,22.3991,1.71,0.0805,512,16.24,52.31,2,4302,4.661,-0.44,0.586,0.573,N
0.998,124.0358994,0.079644,11.47696,11.13,0.4947,413,6.88,210.55,1,5822,4.244,0.14,1.28,1.047,N
0,1.194812329,0.012883,3.14274,1.36,0.0222,1806,2521.46,6.19,1,6198,4.475,-0.28,0.97,1.024,N
1,10.84969477,0.031398,1.4533,2.67,0.0914,676,49.3,20.83,2,5251,4.592,-0.04,0.778,0.869,N
1,12.18420006,0.022196,2.24035,2.59,0.1031,819,106.52,26,2,5771,4.374,0.06,1.068,0.984,N
1,3.76417012,0.021335,3.68525,1.7,0.044,908,160.99,14.03,1,5063,4.617,-0.14,0.728,0.813,N
1,5.92972237,0.018387,3.30245,1.92,0.0649,972,210.95,18.31,2,5741,4.492,0.16,0.956,1.035,N
1,12.2476121,0.018189,3.23802,1.9,0.1052,763,80.29,29.5,2,5741,4.492,0.16,0.956,1.035,N
0.999,13.59051547,0.022536,2.09179,2.4,0.1072,724,64.8,27.33,1,5442,4.409,0.1,0.974,0.887,N
0.99,46.8776724,0.024183,0.08246,2.62,0.2495,484,13.01,21.2,1,5504,4.418,0.2,0.993,0.943,N
0.972,89.1935737,0.02697,12.62813,3.81,0.3987,483,12.83,174.5,1,6071,4.239,-0.06,1.295,1.061,N
0.371,13.09390911,0.021118,1.55395,2.2,0.1096,752,75.58,24.1,2,5772,4.487,0.1,0.956,1.022,N
0.404,4.915385452,0.014007,1.37812,1.46,0.057,1042,279.43,12.07,2,5772,4.487,0.1,0.956,1.022,N
0,87.455958,0.304131,0.00431,70.11,0.46,728,66.26,12.03,1,7700,4.018,-0.14,2.111,1.692,N
0,0.805259257,0.287836,0.20168,63.55,0.0183,2723,12990.09,1.905,1,5872,3.926,0.2,2.022,1.256,N
1,9.76785911,0.027327,0.8225,2.54,0.0852,749,74.48,16.07,1,5371,4.513,0,0.852,0.864,N
1,40.80957343,0.024227,0.63026,3.44,0.2489,623,35.68,38.1,1,6183,4.301,0.26,1.3,1.241,N
1,22.08551599,0.054067,10.19643,3.34,0.13,352,3.63,64.1,1,3828,4.712,0.3,0.565,0.6,N
1,1.151166776,0.021882,8.03646,1.28,0.0177,957,199.25,8.257,1,3951,4.73,-0.16,0.535,0.561,N
0.269,4.693305543,0.111211,0.37183,17.85,0.06,1389,881.73,7.565,1,6365,4.22,0.2,1.47,1.312,N
1,3.246732048,0.077925,0.88211,12.4,0.0442,1459,1072.7,7.89,1,5763,4.15,0.26,1.457,1.093,N
0,8.3606759,0.012745,0.26798,1.49,0.0802,929,176.04,9.97,2,5771,4.374,0.06,1.068,0.984,N
0.992,62.1385979,0.029043,2.85005,5.14,0.301,524,17.88,83.5,2,5123,3.992,0.2,1.621,0.941,N
1,8.29482811,0.026936,0.27546,2.76,0.0793,876,139.38,10.01,1,5773,4.478,-0.04,0.939,0.967,N
0,26.635216,0.287022,0.04213,27.64,0.1627,536,19.45,11.65,1,5215,4.455,0.04,0.882,0.808,N
1,17.84850835,0.020563,0.13439,3.29,0.1385,888,146.82,13.13,3,6188,4.152,-0.08,1.465,1.111,N
0.998,26.1363443,0.01751,0.7631,2.8,0.1786,782,88.29,30.2,3,6188,4.152,-0.08,1.465,1.111,N
0.996,11.1895709,0.011323,0.39737,1.81,0.1015,1037,273.37,13.8,3,6188,4.152,-0.08,1.465,1.111,N
1,2.757977384,0.015478,0.33589,1.69,0.0384,1332,744.97,5.13,1,5919,4.435,-0.08,1,0.994,N
0,18.6928606,0.205493,4.64322,14.81,0.124,528,18.4,44.1,1,5190,4.66,-0.52,0.66,0.732,N
1,14.80075082,0.020773,0.5652,17.38,0.1633,1912,3158.09,18.71,1,6327,3.092,0.56,7.663,2.646,N
1,3.126861192,0.026786,8.96358,5.12,0.0414,1391,886.72,16.67,2,4854,3.939,0.56,1.749,0.97,N
0,87.24250316,0.152059,4.2404,15.86,0.3921,390,5.49,119.49,1,5671,4.501,0.28,0.955,1.054,N
1,10.24061136,0.055757,34.01455,3.9,0.079,656,43.85,57.3,1,5227,4.623,-0.94,0.64,0.628,N
1,16.87725775,0.026718,1.82851,2.54,0.1245,642,40.09,30.2,1,5497,4.512,0,0.872,0.901,N
1,12.05705659,0.021488,5.05088,1.96,0.0984,689,53.26,33.9,1,5365,4.537,0,0.834,0.873,N
1,28.26727385,0.030268,2.70715,2.93,0.1701,517,16.84,48.54,1,5132,4.457,0.16,0.886,0.82,N
1,3.770590654,0.016172,3.67551,2.13,0.0474,1272,619.65,14.03,1,5714,4.274,0.14,1.208,0.999,N
0.999,2.7073064,0.007624,0.5829,1.36,0.0397,1709,2012.12,6.09,1,6045,4.069,0.02,1.629,1.133,N
0.011,23.11707222,0.050285,0.93218,4.37,0.1437,548,21.26,29.8,2,5275,4.505,-0.3,0.796,0.739,N
0.989,4.77502117,0.019883,5.48899,1.73,0.0502,926,174.23,18.77,2,5275,4.505,-0.3,0.796,0.739,N
0.894,66.4159789,0.041515,1.46712,3.44,0.3033,376,4.71,69.9,1,5383,4.603,-0.22,0.759,0.851,N
